stock_code,stock_name,as_of_date
000009,中国宝安,2026-05-06
000021,深科技,2026-05-06
000027,深圳能源,2026-05-06
000032,深桑达A,2026-05-06
000034,神州数码,2026-05-06
000039,中集集团,2026-05-06
000050,深天马A,2026-05-06
000060,中金岭南,2026-05-06
000062,深圳华强,2026-05-06
000088,盐田港,2026-05-06
000155,川能动力,2026-05-06
000400,许继电气,2026-05-06
000415,渤海租赁,2026-05-06
000423,东阿阿胶,2026-05-06
000426,兴业银锡,2026-05-06
000429,粤高速A,2026-05-06
000513,丽珠集团,2026-05-06
000519,中兵红箭,2026-05-06
000528,柳工,2026-05-06
000537,绿发电力,2026-05-06
000539,粤电力A,2026-05-06
000559,万向钱潮,2026-05-06
000563,陕国投A,2026-05-06
000582,北部湾港,2026-05-06
000591,太阳能,2026-05-06
000598,兴蓉环境,2026-05-06
000623,吉林敖东,2026-05-06
000629,钒钛股份,2026-05-06
000657,中钨高新,2026-05-06
000683,博源化工,2026-05-06
000703,恒逸石化,2026-05-06
000709,河钢股份,2026-05-06
000723,美锦能源,2026-05-06
000728,国元证券,2026-05-06
000729,燕京啤酒,2026-05-06
000733,振华科技,2026-05-06
000738,航发控制,2026-05-06
000739,普洛药业,2026-05-06
000750,国海证券,2026-05-06
000783,长江证券,2026-05-06
000785,居然智家,2026-05-06
000825,太钢不锈,2026-05-06
000830,鲁西化工,2026-05-06
000831,中国稀土,2026-05-06
000878,云南铜业,2026-05-06
000883,湖北能源,2026-05-06
000887,中鼎股份,2026-05-06
000893,亚钾国际,2026-05-06
000898,鞍钢股份,2026-05-06
000921,海信家电,2026-05-06
000932,华菱钢铁,2026-05-06
000933,神火股份,2026-05-06
000937,冀中能源,2026-05-06
000951,中国重汽,2026-05-06
000958,电投产融,2026-05-06
000959,首钢股份,2026-05-06
000960,锡业股份,2026-05-06
000967,盈峰环境,2026-05-06
000987,越秀资本,2026-05-06
000997,新 大 陆,2026-05-06
001213,中铁特货,2026-05-06
001221,悍高集团,2026-05-06
001286,陕西能源,2026-05-06
001389,广合科技,2026-05-06
001696,宗申动力,2026-05-06
002007,华兰生物,2026-05-06
002008,大族激光,2026-05-06
002025,航天电器,2026-05-06
002032,苏泊尔,2026-05-06
002044,美年健康,2026-05-06
002056,横店东磁,2026-05-06
002064,华峰化学,2026-05-06
002065,东华软件,2026-05-06
002078,太阳纸业,2026-05-06
002080,中材科技,2026-05-06
002085,万丰奥威,2026-05-06
002120,韵达股份,2026-05-06
002126,银轮股份,2026-05-06
002128,电投能源,2026-05-06
002130,沃尔核材,2026-05-06
002131,利欧股份,2026-05-06
002138,顺络电子,2026-05-06
002152,广电运通,2026-05-06
002153,石基信息,2026-05-06
002155,湖南黄金,2026-05-06
002156,通富微电,2026-05-06
002157,正邦科技,2026-05-06
002185,华天科技,2026-05-06
002195,岩山科技,2026-05-06
002202,金风科技,2026-05-06
002203,海亮股份,2026-05-06
002223,鱼跃医疗,2026-05-06
002244,滨江集团,2026-05-06
002261,拓维信息,2026-05-06
002262,恩华药业,2026-05-06
002265,建设工业,2026-05-06
002266,浙富控股,2026-05-06
002271,东方雨虹,2026-05-06
002273,水晶光电,2026-05-06
002281,光迅科技,2026-05-06
002294,信立泰,2026-05-06
002299,圣农发展,2026-05-06
002312,川发龙蟒,2026-05-06
002318,久立特材,2026-05-06
002335,科华数据,2026-05-06
002340,格林美,2026-05-06
002353,杰瑞股份,2026-05-06
002372,伟星新材,2026-05-06
002385,大北农,2026-05-06
002402,和而泰,2026-05-06
002409,雅克科技,2026-05-06
002410,广联达,2026-05-06
002414,高德红外,2026-05-06
002423,中粮资本,2026-05-06
002429,兆驰股份,2026-05-06
002430,杭氧股份,2026-05-06
002432,九安医疗,2026-05-06
002436,兴森科技,2026-05-06
002439,启明星辰,2026-05-06
002444,巨星科技,2026-05-06
002461,珠江啤酒,2026-05-06
002465,海格通信,2026-05-06
002472,双环传动,2026-05-06
002500,山西证券,2026-05-06
002508,老板电器,2026-05-06
002517,恺英网络,2026-05-06
002532,天山铝业,2026-05-06
002558,巨人网络,2026-05-06
002568,百润股份,2026-05-06
002583,海能达,2026-05-06
002595,豪迈科技,2026-05-06
002603,以岭药业,2026-05-06
002607,中公教育,2026-05-06
002608,江苏国信,2026-05-06
002624,完美世界,2026-05-06
002670,国盛证券,2026-05-06
002673,西部证券,2026-05-06
002683,广东宏大,2026-05-06
002738,中矿资源,2026-05-06
002739,儒意电影,2026-05-06
002756,永兴材料,2026-05-06
002773,康弘药业,2026-05-06
002797,第一创业,2026-05-06
002821,凯莱英,2026-05-06
002831,裕同科技,2026-05-06
002837,英维克,2026-05-06
002841,视源股份,2026-05-06
002850,科达利,2026-05-06
002851,麦格米特,2026-05-06
002926,华西证券,2026-05-06
002939,长城证券,2026-05-06
002945,华林证券,2026-05-06
002958,青农商行,2026-05-06
002966,苏州银行,2026-05-06
002984,森麒麟,2026-05-06
003021,兆威机电,2026-05-06
003022,联泓新科,2026-05-06
003031,中瓷电子,2026-05-06
003035,南网能源,2026-05-06
300001,特锐德,2026-05-06
300002,神州泰岳,2026-05-06
300003,乐普医疗,2026-05-06
300012,华测检测,2026-05-06
300017,网宿科技,2026-05-06
300024,机器人,2026-05-06
300037,新宙邦,2026-05-06
300054,鼎龙股份,2026-05-06
300058,蓝色光标,2026-05-06
300070,碧水源,2026-05-06
300073,当升科技,2026-05-06
300100,双林股份,2026-05-06
300115,长盈精密,2026-05-06
300136,信维通信,2026-05-06
300140,节能环境,2026-05-06
300142,沃森生物,2026-05-06
300144,宋城演艺,2026-05-06
300146,汤臣倍健,2026-05-06
300207,欣旺达,2026-05-06
300223,北京君正,2026-05-06
300285,国瓷材料,2026-05-06
300339,润和软件,2026-05-06
300346,南大光电,2026-05-06
300373,扬杰科技,2026-05-06
300383,光环新网,2026-05-06
300390,天华新能,2026-05-06
300395,菲利华,2026-05-06
300432,富临精工,2026-05-06
300450,先导智能,2026-05-06
300454,深信服,2026-05-06
300458,全志科技,2026-05-06
300474,景嘉微,2026-05-06
300487,蓝晓科技,2026-05-06
300496,中科创达,2026-05-06
300529,健帆生物,2026-05-06
300558,贝达药业,2026-05-06
300567,精测电子,2026-05-06
300570,太辰光,2026-05-06
300601,康泰生物,2026-05-06
300604,长川科技,2026-05-06
300623,捷捷微电,2026-05-06
300627,华测导航,2026-05-06
300676,华大基因,2026-05-06
300677,英科医疗,2026-05-06
300679,电连技术,2026-05-06
300699,光威复材,2026-05-06
300718,长盛轴承,2026-05-06
300724,捷佳伟创,2026-05-06
300735,光弘科技,2026-05-06
300748,金力永磁,2026-05-06
300751,迈为股份,2026-05-06
300757,罗博特科,2026-05-06
300763,锦浪科技,2026-05-06
300857,协创数据,2026-05-06
300888,稳健医疗,2026-05-06
300919,中伟新材,2026-05-06
300957,贝泰妮,2026-05-06
300972,万辰集团,2026-05-06
301200,大族数控,2026-05-06
301301,川宁生物,2026-05-06
301308,江波龙,2026-05-06
301358,湖南裕能,2026-05-06
301498,乖宝宠物,2026-05-06
301536,星宸科技,2026-05-06
301611,珂玛科技,2026-05-06
600004,白云机场,2026-05-06
600007,中国国贸,2026-05-06
600008,首创环保,2026-05-06
600021,上海电力,2026-05-06
600032,浙江新能,2026-05-06
600038,中直股份,2026-05-06
600060,海信视像,2026-05-06
600062,华润双鹤,2026-05-06
600095,湘财股份,2026-05-06
600096,云天化,2026-05-06
600098,广州发展,2026-05-06
600109,国金证券,2026-05-06
600118,中国卫星,2026-05-06
600126,杭钢股份,2026-05-06
600131,国网信通,2026-05-06
600132,重庆啤酒,2026-05-06
600141,兴发集团,2026-05-06
600143,金发科技,2026-05-06
600153,建发股份,2026-05-06
600157,永泰能源,2026-05-06
600166,福田汽车,2026-05-06
600170,上海建工,2026-05-06
600171,上海贝岭,2026-05-06
600177,雅戈尔,2026-05-06
600208,衢州发展,2026-05-06
600282,南钢股份,2026-05-06
600295,鄂尔多斯,2026-05-06
600298,安琪酵母,2026-05-06
600299,安迪苏,2026-05-06
600312,平高电气,2026-05-06
600316,洪都航空,2026-05-06
600329,达仁堂,2026-05-06
600332,白云山,2026-05-06
600339,中油工程,2026-05-06
600348,华阳股份,2026-05-06
600352,浙江龙盛,2026-05-06
600363,联创光电,2026-05-06
600369,西南证券,2026-05-06
600378,昊华科技,2026-05-06
600380,健康元,2026-05-06
600390,五矿资本,2026-05-06
600392,盛和资源,2026-05-06
600398,海澜之家,2026-05-06
600435,北方导航,2026-05-06
600483,福能股份,2026-05-06
600486,扬农化工,2026-05-06
600487,亨通光电,2026-05-06
600497,驰宏锌锗,2026-05-06
600498,烽火通信,2026-05-06
600499,科达制造,2026-05-06
600511,国药股份,2026-05-06
600516,方大炭素,2026-05-06
600517,国网英大,2026-05-06
600521,华海药业,2026-05-06
600528,中铁工业,2026-05-06
600535,天士力,2026-05-06
600536,中国软件,2026-05-06
600546,山煤国际,2026-05-06
600549,厦门钨业,2026-05-06
600562,国睿科技,2026-05-06
600563,法拉电子,2026-05-06
600566,济川药业,2026-05-06
600578,京能电力,2026-05-06
600580,卧龙电驱,2026-05-06
600582,天地科技,2026-05-06
600583,海油工程,2026-05-06
600598,北大荒,2026-05-06
600601,方正科技,2026-05-06
600602,云赛智联,2026-05-06
600606,绿地控股,2026-05-06
600637,东方明珠,2026-05-06
600642,申能股份,2026-05-06
600655,豫园股份,2026-05-06
600663,陆家嘴,2026-05-06
600673,东阳光,2026-05-06
600685,中船防务,2026-05-06
600688,上海石化,2026-05-06
600699,均胜电子,2026-05-06
600704,物产中大,2026-05-06
600707,彩虹股份,2026-05-06
600720,中交设计,2026-05-06
600737,中粮糖业,2026-05-06
600739,辽宁成大,2026-05-06
600754,锦江酒店,2026-05-06
600763,通策医疗,2026-05-06
600764,中国海防,2026-05-06
600765,中航重机,2026-05-06
600801,华新建材,2026-05-06
600808,马钢股份,2026-05-06
600816,建元信托,2026-05-06
600820,隧道股份,2026-05-06
600848,上海临港,2026-05-06
600862,中航高科,2026-05-06
600863,华能蒙电,2026-05-06
600871,石化油服,2026-05-06
600873,梅花生物,2026-05-06
600879,航天电子,2026-05-06
600884,杉杉股份,2026-05-06
600885,宏发股份,2026-05-06
600901,江苏金租,2026-05-06
600906,财达证券,2026-05-06
600909,华安证券,2026-05-06
600927,永安期货,2026-05-06
600959,江苏有线,2026-05-06
600967,内蒙一机,2026-05-06
600968,海油发展,2026-05-06
600970,中材国际,2026-05-06
600977,中国电影,2026-05-06
600985,淮北矿业,2026-05-06
